"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [507]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,688.8 uA,10.57 mV,23.13 uA
20.00 psec,1.418 mA,26.78 mV,47.96 uA
50.00 psec,3.435 mA,141.3 mV,120.7 uA
77.20 psec,5.366 mA,339.1 mV,207.3 uA
80.64 psec,5.620 mA,372.1 mV,219.9 uA
86.95 psec,6.129 mA,436.2 mV,249.1 uA
105.9 psec,7.777 mA,671.3 mV,344.8 uA
132.6 psec,11.84 mA,1.065  V,2.414 mA
133.9 psec,12.16 mA,1.085  V,2.727 mA
137.4 psec,13.07 mA,1.135  V,3.449 mA
147.9 psec,16.12 mA,1.291  V,4.494 mA
161.8 psec,20.26 mA,1.550  V,5.572 mA
183.6 psec,26.88 mA,2.114  V,7.445 mA
220.2 psec,38.04 mA,3.566  V,10.38 mA
282.7 psec,56.20 mA,7.957  V,15.24 mA
372.1 psec,78.22 mA,19.43  V,22.54 mA
505.1 psec,164.3 mA,42.95  V,117.2 mA
511.3 psec,172.2 mA,43.95  V,130.0 mA
526.0 psec,196.9 mA,46.04  V,166.1 mA
570.3 psec,328.1 mA,49.13  V,323.1 mA
617.1 psec,522.1 mA,48.62  V,528.9 mA
661.7 psec,710.4 mA,46.61  V,719.2 mA
739.9 psec,977.2 mA,42.59  V,986.4 mA
791.3 psec,1.102  A,40.16  V,1.109  A
882.2 psec,1.241  A,36.63  V,1.248  A
1.000 nsec,1.496  A,25.20  V,1.524  A
1.009 nsec,1.570  A,21.51  V,1.647  A
1.016 nsec,1.628  A,18.59  V,1.729  A
1.017 nsec,1.640  A,18.00  V,1.737  A
1.020 nsec,1.668  A,16.59  V,1.760  A
1.028 nsec,1.742  A,12.90  V,1.831  A
1.038 nsec,1.859  A,7.063  V,1.994  A
1.038 nsec,1.866  A,6.710  V,2.022  A
1.039 nsec,1.885  A,5.757  V,2.112  A
1.039 nsec,1.889  A,5.544  V,2.134  A
1.040 nsec,1.899  A,5.061  V,2.188  A
1.041 nsec,1.938  A,3.120  V,2.469  A
1.041 nsec,1.940  A,2.981  V,2.485  A
1.041 nsec,1.947  A,2.653  V,2.534  A
1.042 nsec,1.968  A,1.593  V,2.707  A
1.042 nsec,1.969  A,1.527  V,2.702  A
1.042 nsec,1.972  A,1.395  V,2.697  A
1.042 nsec,1.980  A,1.025  V,2.670  A
1.042 nsec,1.980  A,984.2 mV,2.657  A
1.042 nsec,1.983  A,870.1 mV,2.599  A
1.042 nsec,1.983  A,851.0 mV,2.581  A
1.042 nsec,1.984  A,805.6 mV,2.420  A
1.042 nsec,1.984  A,801.3 mV,2.385  A
1.042 nsec,1.984  A,791.2 mV,2.279  A
1.043 nsec,1.984  A,780.1 mV,2.071  A
1.043 nsec,1.984  A,777.9 mV,1.958  A
1.043 nsec,1.984  A,775.6 mV,1.908  A
1.043 nsec,1.984  A,775.4 mV,1.894  A
1.043 nsec,1.985  A,775.0 mV,1.891  A
