"time
References : ['Idut.i','Vdut','I1.i']
Dependency : [time]
Num. Points : [548]
Matrix Size : scalar
Type : Real","Idut.i
References : []
Dependency : [time]
Num. Points : [548]
Matrix Size : scalar
Type : Real","Vdut
References : []
Dependency : [time]
Num. Points : [548]
Matrix Size : scalar
Type : Real","I1.i
References : []
Dependency : [time]
Num. Points : [548]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A,0.0000 V,0.0000 A
10.00 psec,1.377 mA,21.17 mV,46.36 uA
20.00 psec,2.831 mA,53.79 mV,96.96 uA
50.00 psec,6.781 mA,287.1 mV,250.4 uA
75.02 psec,10.06 mA,656.3 mV,443.2 uA
77.84 psec,10.43 mA,710.1 mV,475.2 uA
82.65 psec,11.12 mA,805.7 mV,592.8 uA
83.55 psec,11.25 mA,824.4 mV,627.7 uA
86.25 psec,11.68 mA,880.7 mV,860.4 uA
94.37 psec,13.69 mA,1.031  V,3.115 mA
94.84 psec,13.85 mA,1.039  V,3.253 mA
96.27 psec,14.35 mA,1.061  V,3.633 mA
100.5 psec,15.95 mA,1.128  V,4.380 mA
109.5 psec,19.48 mA,1.288  V,5.380 mA
124.4 psec,25.45 mA,1.634  V,7.053 mA
144.5 psec,33.76 mA,2.295  V,9.304 mA
186.0 psec,51.40 mA,4.569  V,14.01 mA
243.4 psec,75.95 mA,10.47  V,20.56 mA
319.9 psec,110.5 mA,24.99  V,34.09 mA
326.7 psec,113.5 mA,26.70  V,36.27 mA
342.4 psec,122.3 mA,30.84  V,43.37 mA
389.4 psec,177.8 mA,44.03  V,104.0 mA
431.7 psec,332.9 mA,53.14  V,298.7 mA
477.5 psec,703.6 mA,54.66  V,715.9 mA
515.3 psec,1.094  A,52.24  V,1.103  A
552.4 psec,1.475  A,49.69  V,1.489  A
593.6 psec,1.872  A,46.94  V,1.881  A
673.3 psec,2.510  A,42.11  V,2.522  A
681.2 psec,2.576  A,41.01  V,2.600  A
691.4 psec,2.691  A,37.89  V,2.776  A
692.7 psec,2.711  A,37.20  V,2.807  A
695.3 psec,2.755  A,35.63  V,2.884  A
702.9 psec,2.932  A,28.63  V,3.150  A
713.5 psec,3.208  A,17.22  V,3.437  A
714.0 psec,3.221  A,16.70  V,3.442  A
715.4 psec,3.255  A,15.33  V,3.468  A
719.7 psec,3.353  A,11.34  V,3.578  A
720.0 psec,3.359  A,11.06  V,3.591  A
720.5 psec,3.372  A,10.56  V,3.619  A
722.0 psec,3.411  A,8.896  V,3.714  A
722.1 psec,3.415  A,8.718  V,3.726  A
722.5 psec,3.427  A,8.208  V,3.773  A
723.5 psec,3.462  A,6.678  V,3.969  A
724.1 psec,3.491  A,5.330  V,4.281  A
724.1 psec,3.494  A,5.209  V,4.318  A
724.2 psec,3.499  A,4.956  V,4.403  A
724.5 psec,3.520  A,3.978  V,4.906  A
724.8 psec,3.553  A,2.378  V,5.995  A
724.8 psec,3.555  A,2.257  V,6.032  A
724.8 psec,3.558  A,2.114  V,6.066  A
724.9 psec,3.567  A,1.695  V,6.146  A
725.0 psec,3.580  A,1.069  V,5.832  A
725.0 psec,3.581  A,1.028  V,5.779  A
725.0 psec,3.583  A,916.0 mV,5.544  A
725.1 psec,3.585  A,812.1 mV,3.949  A
725.2 psec,3.585  A,836.0 mV,3.824  A
725.2 psec,3.585  A,834.2 mV,3.852  A
725.2 psec,3.585  A,829.2 mV,3.863  A
725.2 psec,3.586  A,819.9 mV,3.719  A
725.3 psec,3.586  A,819.3 mV,3.624  A
725.4 psec,3.586  A,818.3 mV,3.586  A
725.5 psec,3.587  A,817.3 mV,3.548  A
725.7 psec,3.588  A,817.2 mV,3.555  A
725.9 psec,3.589  A,816.1 mV,3.544  A
726.4 psec,3.591  A,815.1 mV,3.553  A
726.9 psec,3.593  A,813.0 mV,3.541  A
727.4 psec,3.595  A,811.7 mV,3.548  A
728.0 psec,3.597  A,809.7 mV,3.537  A
728.7 psec,3.600  A,808.2 mV,3.542  A
729.5 psec,3.603  A,806.2 mV,3.528  A
730.6 psec,3.607  A,804.7 mV,3.529  A
731.9 psec,3.612  A,803.1 mV,3.510  A
733.8 psec,3.619  A,802.4 mV,3.498  A
736.4 psec,3.630  A,801.7 mV,3.454  A
740.9 psec,3.646  A,802.1 mV,3.374  A
747.9 psec,3.670  A,801.3 mV,3.165  A
748.5 psec,3.672  A,801.2 mV,3.148  A
749.9 psec,3.677  A,800.3 mV,3.082  A
754.2 psec,3.692  A,767.0 mV,1.877  A
758.2 psec,3.705  A,762.9 mV,1.743  A
762.2 psec,3.717  A,763.8 mV,1.728  A
767.2 psec,3.732  A,765.0 mV,1.710  A
774.3 psec,3.751  A,767.1 mV,1.710  A
788.4 psec,3.787  A,770.2 mV,1.715  A
809.3 psec,3.833  A,773.3 mV,1.744  A
838.4 psec,3.882  A,775.6 mV,1.775  A
863.1 psec,3.914  A,777.1 mV,1.804  A
901.2 psec,3.947  A,778.5 mV,1.829  A
958.0 psec,3.975  A,780.1 mV,1.860  A
1.000 nsec,3.984  A,780.6 mV,1.870  A
1.005 nsec,3.984  A,780.7 mV,1.873  A
1.012 nsec,3.984  A,780.8 mV,1.874  A
1.032 nsec,3.984  A,781.0 mV,1.878  A
1.067 nsec,3.984  A,781.2 mV,1.883  A
1.120 nsec,3.984  A,781.6 mV,1.890  A
1.184 nsec,3.984  A,781.9 mV,1.897  A
1.264 nsec,3.984  A,782.2 mV,1.904  A
1.363 nsec,3.984  A,782.5 mV,1.911  A
1.490 nsec,3.984  A,782.8 mV,1.918  A
1.662 nsec,3.984  A,783.2 mV,1.926  A
1.912 nsec,3.984  A,783.6 mV,1.935  A
2.323 nsec,3.984  A,784.2 mV,1.948  A
3.111 nsec,3.984  A,784.9 mV,1.964  A
3.519 nsec,3.984  A,785.0 mV,1.968  A
3.920 nsec,3.984  A,784.9 mV,1.967  A
4.299 nsec,3.984  A,784.6 mV,1.961  A
4.743 nsec,3.984  A,784.2 mV,1.953  A
5.479 nsec,3.984  A,783.7 mV,1.943  A
6.479 nsec,3.984  A,783.4 mV,1.938  A
7.479 nsec,3.984  A,783.4 mV,1.937  A
8.479 nsec,3.984  A,783.4 mV,1.937  A
9.479 nsec,3.984  A,783.3 mV,1.936  A
10.18 nsec,3.984  A,782.3 mV,1.916  A
10.21 nsec,3.984  A,782.1 mV,1.912  A
10.27 nsec,3.984  A,781.7 mV,1.903  A
10.28 nsec,3.984  A,781.6 mV,1.901  A
10.31 nsec,3.984  A,781.3 mV,1.895  A
10.38 nsec,3.984  A,779.9 mV,1.865  A
10.39 nsec,3.984  A,779.7 mV,1.861  A
10.41 nsec,3.984  A,779.1 mV,1.848  A
